2026-02-05T19:16:48 FALL detected roll=1.547 pitch=0.003 yaw=0.003
2026-02-05T19:16:48 FALL detected roll=1.551 pitch=0.003 yaw=0.003
2026-02-05T19:16:48 FALL detected roll=1.561 pitch=0.046 yaw=0.046
2026-02-05T19:16:48 FALL detected roll=1.572 pitch=0.079 yaw=0.079
2026-02-05T19:16:48 FALL detected roll=1.581 pitch=0.106 yaw=0.107
2026-02-05T19:16:48 FALL detected roll=1.581 pitch=0.127 yaw=0.129
2026-02-05T19:16:48 FALL detected roll=1.585 pitch=0.141 yaw=0.143
2026-02-05T19:16:48 FALL detected roll=1.587 pitch=0.150 yaw=0.153
2026-02-05T19:16:48 FALL detected roll=1.588 pitch=0.156 yaw=0.159
2026-02-05T19:16:48 FALL detected roll=1.589 pitch=0.160 yaw=0.163
2026-02-05T19:16:48 FALL detected roll=1.590 pitch=0.162 yaw=0.165
2026-02-05T19:16:48 FALL detected roll=1.590 pitch=0.163 yaw=0.166
2026-02-05T19:16:48 FALL detected roll=1.590 pitch=0.164 yaw=0.167
2026-02-05T19:16:48 FALL detected roll=1.590 pitch=0.164 yaw=0.167
2026-02-05T19:16:48 FALL detected roll=1.591 pitch=0.164 yaw=0.167
2026-02-05T19:16:48 FALL detected roll=1.591 pitch=0.164 yaw=0.167
2026-02-05T19:16:48 FALL detected roll=1.591 pitch=0.164 yaw=0.167
2026-02-05T19:16:48 FALL detected roll=1.591 pitch=0.164 yaw=0.167
2026-02-05T19:16:48 FALL detected roll=1.591 pitch=0.164 yaw=0.167
2026-02-05T19:16:49 FALL detected roll=1.591 pitch=0.164 yaw=0.167
2026-02-05T19:16:49 FALL detected roll=1.591 pitch=0.163 yaw=0.167
2026-02-05T19:16:49 FALL detected roll=1.591 pitch=0.163 yaw=0.167
2026-02-05T19:16:49 FALL detected roll=1.591 pitch=0.163 yaw=0.167
2026-02-05T19:16:49 FALL detected roll=1.591 pitch=0.163 yaw=0.166
2026-02-05T19:16:49 FALL detected roll=1.591 pitch=0.163 yaw=0.166
2026-02-05T19:16:49 FALL detected roll=1.591 pitch=0.163 yaw=0.166
2026-02-05T19:16:49 FALL detected roll=1.591 pitch=0.163 yaw=0.166
2026-02-05T19:16:49 FALL detected roll=1.591 pitch=0.163 yaw=0.166
2026-02-05T19:16:49 FALL detected roll=1.591 pitch=0.163 yaw=0.166
2026-02-05T19:16:49 FALL detected roll=1.591 pitch=0.163 yaw=0.166
2026-02-05T19:16:49 FALL detected roll=1.591 pitch=0.163 yaw=0.166
2026-02-05T19:16:49 FALL detected roll=1.591 pitch=0.163 yaw=0.166
2026-02-05T19:16:49 FALL detected roll=1.591 pitch=0.163 yaw=0.166
2026-02-05T19:16:49 FALL detected roll=1.591 pitch=0.163 yaw=0.166
2026-02-05T19:16:49 FALL detected roll=1.591 pitch=0.163 yaw=0.166
2026-02-05T19:16:49 FALL detected roll=1.591 pitch=0.163 yaw=0.166
2026-02-05T19:16:49 FALL detected roll=1.591 pitch=0.163 yaw=0.166
2026-02-05T19:16:49 FALL detected roll=1.591 pitch=0.163 yaw=0.166
2026-02-05T19:16:49 FALL detected roll=1.591 pitch=0.163 yaw=0.166
2026-02-05T19:16:49 FALL detected roll=1.587 pitch=0.155 yaw=0.157
2026-02-05T19:16:49 FALL detected roll=1.583 pitch=0.147 yaw=0.148
2026-02-05T19:16:49 FALL detected roll=1.580 pitch=0.137 yaw=0.139
2026-02-05T19:16:49 FALL detected roll=1.577 pitch=0.126 yaw=0.127
2026-02-05T19:16:49 FALL detected roll=1.573 pitch=0.113 yaw=0.114
2026-02-05T19:16:49 FALL detected roll=1.571 pitch=0.106 yaw=0.106
2026-02-05T19:16:49 FALL detected roll=1.569 pitch=0.101 yaw=0.101
2026-02-05T19:16:49 FALL detected roll=1.568 pitch=0.097 yaw=0.097
2026-02-05T19:16:49 FALL detected roll=1.569 pitch=0.095 yaw=0.095
2026-02-05T19:16:49 FALL detected roll=1.570 pitch=0.094 yaw=0.094
2026-02-05T19:16:49 FALL detected roll=1.571 pitch=0.093 yaw=0.093
2026-02-05T19:16:50 FALL detected roll=1.571 pitch=0.093 yaw=0.093
